Dataset,Method,Best_Accuracy,Best_Param,source_file,Frac_Labeled
Salinas,R,0.8181999999999999,0.0001,best_accuracies_Salinas_20250130_115233,
Salinas,R_res,0.7896000000000001,0.0001,best_accuracies_Salinas_20250130_115233,
Salinas,l1_res,0.7654000000000001,0.0001,best_accuracies_Salinas_20250205_221236,0.001
Pavia_Centre,l1_res,0.7252,1e-05,best_accuracies_Pavia_Centre_20250130_131450,
Salinas,l1_res,0.7518,0.0001,best_accuracies_Salinas_20250130_131143,
Pavia_University,l1_res,0.4118,1e-07,best_accuracies_Pavia_University_20250205_193504,0.0001
Pavia_University,l1_res,0.444,0.0001,best_accuracies_Pavia_University_20250205_193504,0.0005
Pavia_University,l1_res,0.5468,1e-05,best_accuracies_Pavia_University_20250205_193504,0.005
Pavia_University,l1_res,0.5694,1e-05,best_accuracies_Pavia_University_20250205_193504,0.01
Pavia_University,l1_res,0.5713999999999999,1e-05,best_accuracies_Pavia_University_20250205_193504,0.05
Pavia_University,l1_res,0.5701999999999999,1e-05,best_accuracies_Pavia_University_20250205_193504,0.1
Botswana,l1_res,0.3965999999999999,1e-06,best_accuracies_Botswana_20250130_131524,
Pavia_University,l1_res,0.4702,0.0001,best_accuracies_Pavia_University_20250205_221552,0.001
Indian_Pines,R,0.3637999999999999,1e-05,best_accuracies_Indian_Pines_20250130_120653,
Indian_Pines,R_res,0.3568,1e-05,best_accuracies_Indian_Pines_20250130_120653,
Pavia_Centre,l1_res,0.7272000000000002,1e-05,best_accuracies_Pavia_Centre_20250205_221540,0.001
Botswana,l1_res,0.4065999999999999,0.0001,best_accuracies_Botswana_20250205_221614,0.001
Indian_Pines,l1_res,0.307,0.001,best_accuracies_Indian_Pines_20250205_165423,0.0001
Indian_Pines,l1_res,0.3054,1e-06,best_accuracies_Indian_Pines_20250205_165423,0.0005
Indian_Pines,l1_res,0.448,0.001,best_accuracies_Indian_Pines_20250205_165423,0.005
Indian_Pines,l1_res,0.5159999999999999,0.001,best_accuracies_Indian_Pines_20250205_165423,0.01
Indian_Pines,l1_res,0.6409999999999999,0.0001,best_accuracies_Indian_Pines_20250205_165423,0.05
Indian_Pines,l1_res,0.6844,0.0001,best_accuracies_Indian_Pines_20250205_165423,0.1
Pavia_Centre,R,0.9518,0.01,best_accuracies_Pavia_Centre_20250130_122323,
Pavia_Centre,R_res,0.9454,0.1,best_accuracies_Pavia_Centre_20250130_122323,
Pavia_Centre,l1_res,0.7837999999999999,0.0001,best_accuracies_Pavia_Centre_20250205_190049,0.0001
Pavia_Centre,l1_res,0.6922000000000001,0.0001,best_accuracies_Pavia_Centre_20250205_190049,0.0005
Pavia_Centre,l1_res,0.6769999999999999,1e-06,best_accuracies_Pavia_Centre_20250205_190049,0.005
Pavia_Centre,l1_res,0.6438000000000001,1e-07,best_accuracies_Pavia_Centre_20250205_190049,0.01
Pavia_Centre,l1_res,0.5626000000000001,1e-05,best_accuracies_Pavia_Centre_20250205_190049,0.05
Pavia_Centre,l1_res,0.5334,1e-05,best_accuracies_Pavia_Centre_20250205_190049,0.1
Indian_Pines,l1_res,0.3192,1e-08,best_accuracies_Indian_Pines_20250130_131155,
KSC,R,0.6402000000000001,0.01,best_accuracies_KSC_20250130_123659,
KSC,R_res,0.5770000000000001,0.01,best_accuracies_KSC_20250130_123659,
KSC,l1_res,0.5622,1e-05,best_accuracies_KSC_20250130_131513,
Botswana,l1_res,0.4144,0.0001,best_accuracies_Botswana_20250205_200813,0.0001
Botswana,l1_res,0.4136000000000001,0.0001,best_accuracies_Botswana_20250205_200813,0.0005
Botswana,l1_res,0.4046,0.0001,best_accuracies_Botswana_20250205_200813,0.005
Botswana,l1_res,0.4896000000000001,0.0001,best_accuracies_Botswana_20250205_200813,0.01
Botswana,l1_res,0.6285999999999999,0.0001,best_accuracies_Botswana_20250205_200813,0.05
Botswana,l1_res,0.661,1e-05,best_accuracies_Botswana_20250205_200813,0.1
Indian_Pines,l1_res,0.3314,0.001,best_accuracies_Indian_Pines_20250205_221247,0.001
KSC,l1_res,0.5682,0.0001,best_accuracies_KSC_20250205_195447,0.0001
KSC,l1_res,0.5539999999999999,1e-06,best_accuracies_KSC_20250205_195447,0.0005
KSC,l1_res,0.62,0.0001,best_accuracies_KSC_20250205_195447,0.005
KSC,l1_res,0.6762,0.0001,best_accuracies_KSC_20250205_195447,0.01
KSC,l1_res,0.7862,0.0001,best_accuracies_KSC_20250205_195447,0.05
KSC,l1_res,0.8144,0.0001,best_accuracies_KSC_20250205_195447,0.1
Salinas,l1_res,0.6916,0.0001,best_accuracies_Salinas_20250205_160816,0.0001
Salinas,l1_res,0.7267999999999999,0.0001,best_accuracies_Salinas_20250205_160816,0.0005
Salinas,l1_res,0.8344,1e-05,best_accuracies_Salinas_20250205_160816,0.005
Salinas,l1_res,0.8371999999999999,0.0001,best_accuracies_Salinas_20250205_160816,0.01
Salinas,l1_res,0.8572000000000002,1e-05,best_accuracies_Salinas_20250205_160816,0.05
Salinas,l1_res,0.8724000000000001,1e-05,best_accuracies_Salinas_20250205_160816,0.1
Botswana,R,0.7200000000000002,0.01,best_accuracies_Botswana_20250130_124324,
Botswana,R_res,0.6414,0.1,best_accuracies_Botswana_20250130_124324,
KSC,l1_res,0.554,0.0001,best_accuracies_KSC_20250205_221603,0.001
Pavia_University,l1_res,0.4946000000000001,0.0001,best_accuracies_Pavia_University_20250130_131502,
Pavia_University,R,0.7465999999999999,0.01,best_accuracies_Pavia_University_20250130_122958,
Pavia_University,R_res,0.7170000000000001,0.1,best_accuracies_Pavia_University_20250130_122958,
